ID,N_VICTIMAS,FECHA,SEMESTRE,ANIO,MM,DD,HORA,HH,PARTE_DIA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,CALLE,CRUCE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,SEXO,EDAD
2017-0086,1,2017-07-09,2,2017,7,9,07:30:00,7,2,AV. RIVADAVIA Y MURGUIONDO,AVENIDA,RIVADAVIA AV.,MURGUIONDO,9,PEATON_MOTO,PEATON,MOTO,FEMENINO,30.0
2017-0087,1,2017-07-10,2,2017,7,10,10:45:00,10,2,24 DE NOVIEMBRE 390,CALLE,24 DE NOVIEMBRE,,3,PEATON_AUTO,PEATON,AUTO,FEMENINO,73.0
2017-0088,1,2017-07-10,2,2017,7,10,22:30:00,22,5,AV. PASEO COLON Y BRASIL,AVENIDA,PASEO COLON AV.,BRASIL AV.,1,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,43.0
2017-0089,1,2017-07-13,2,2017,7,13,12:05:00,12,4,MARTINIANO LEGUIZAMON 901,CALLE,"LEGUIZAMON, MARTINIANO",,9,SD_AUTO,,AUTO,MASCULINO,23.0
2017-0090,1,2017-07-15,2,2017,7,15,05:15:00,5,1,AV. CHIVILCOY Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,CHIVILCOY AV.,"PAZ, GRAL. AV.",11,PEATON_AUTO,PEATON,AUTO,MASCULINO,22.0
2017-0091,1,2017-07-15,2,2017,7,15,13:00:00,13,4,SUPERI Y AV. GRAL. PAZ,GRAL PAZ,SUPERI,"PAZ, GRAL. AV.",12,MOTO_SD,MOTO,,MASCULINO,58.0
2017-0092,1,2017-07-24,2,2017,7,24,22:16:01,22,5,AU 25 DE MAYO Y AU FRONDIZI (9 DE JULIO SUR),AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,PEATON_AUTO,PEATON,AUTO,MASCULINO,66.0
2017-0093,1,2017-07-25,2,2017,7,25,16:48:40,16,4,"AV. LEOPOLDO LUGONES KM 7,5, ALTURA PUENTE SCALABRINI ORTIZ, SENTIDO A CENTRO PORTEÑO",AUTOPISTA,"LUGONES, LEOPOLDO AV.",PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,13,PEATON_AUTO,PEATON,AUTO,MASCULINO,
2017-0094,1,2017-07-27,2,2017,7,27,08:50:00,8,2,VICTOR HUGO 2639,CALLE,"HUGO, VICTOR",,10,BICICLETA_CARGAS,BICICLETA,CARGAS,FEMENINO,56.0
2017-0095,1,2017-08-06,2,2017,8,6,08:00:00,8,2,AV. CORDOBA Y JERONIMO SALGUERO,AVENIDA,CORDOBA AV.,"SALGUERO, JERONIMO",14,MOTO_AUTO,MOTO,AUTO,MASCULINO,36.0
2017-0096,1,2017-08-07,2,2017,8,7,19:50:00,19,4,AV. CABILDO Y NUÑEZ,AVENIDA,CABILDO AV.,NU?EZ,13,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,87.0
2017-0098,1,2017-08-08,2,2017,8,8,12:10:00,12,4,JOSE BONIFACIO 2114,CALLE,"BONIFACIO, JOSE",,7,PEATON_AUTO,PEATON,AUTO,FEMENINO,61.0
2017-0099,1,2017-08-17,2,2017,8,17,19:45:00,19,4,AV. PTE FIGUEROA ALCORTA 5400,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",,14,BICICLETA_AUTO,BICICLETA,AUTO,MASCULINO,28.0
2017-0100,1,2017-08-21,2,2017,8,21,07:45:00,7,2,VENEZUELA 2135,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,,3,MOTO_OBJETO FIJO,MOTO,OBJETO FIJO,FEMENINO,16.0
2017-0101,1,2017-08-23,2,2017,8,23,10:00:00,10,2,AV. FCO. LACROZE Y ZAPATA,AVENIDA,"LACROZE, FEDERICO AV.",ZAPATA,13,MULTIPLE,PEATON,MULTIPLE,FEMENINO,61.0
2017-0102,1,2017-08-24,2,2017,8,24,01:10:00,1,1,IRIARTE Y ZAVALETA,AVENIDA,"IRIARTE, GRAL. AV.",ZAVALETA,4,PEATON_CARGAS,PEATON,CARGAS,MASCULINO,46.0
2017-0104,1,2017-08-25,2,2017,8,25,09:00:00,9,2,AV. 9 DE JULIO Y ESTADOS UNIDOS,AVENIDA,9 DE JULIO AV.,ESTADOS UNIDOS,1,PEATON_CARGAS,PEATON,CARGAS,FEMENINO,18.0
2017-0106,1,2017-08-31,2,2017,8,31,19:50:00,19,4,FRAY JUSTO SANTAMARIA DE ORO Y GUEMES,CALLE,FRAY JUSTO SANTAMARIA DE ORO,GUEMES,14,PEATON_PASAJEROS,PEATON,PASAJEROS,FEMENINO,85.0
2017-0107,1,2017-09-01,2,2017,9,1,11:30:00,11,2,AV. DEL LIBERTADOR Y JARAMILLO,AVENIDA,DEL LIBERTADOR AV.,JARAMILLO,13,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,41.0
2017-0109,1,2017-09-04,2,2017,9,4,21:00:00,21,5,AV. DIRECTORIO Y PORTELA,AVENIDA,DIRECTORIO AV.,PORTELA,7,MOTO_AUTO,MOTO,AUTO,MASCULINO,21.0
2017-0110,1,2017-09-06,2,2017,9,6,14:15:00,14,4,LAVALLE Y AV. LEANDRO N ALEM,AVENIDA,LAVALLE,"ALEM, LEANDRO N. AV.",1,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,56.0
2017-0111,1,2017-09-07,2,2017,9,7,18:23:37,18,4,USPALLATA Y PIROVANO,CALLE,USPALLATA,PIROVANO,4,PEATON_CARGAS,PEATON,CARGAS,FEMENINO,79.0
2017-0113,1,2017-09-11,2,2017,9,11,06:30:00,6,2,AV. SANTA FE Y MAIPU,AVENIDA,SANTA FE AV.,MAIPU,1,PEATON_PASAJEROS,PEATON,PASAJEROS,FEMENINO,76.0
2017-0114,1,2017-09-15,2,2017,9,15,02:30:00,2,1,AV. ALVEAR Y AV. DEL LIBERTADOR,AVENIDA,ALVEAR AV.,DEL LIBERTADOR AV.,2,AUTO_OBJETO FIJO,AUTO,OBJETO FIJO,MASCULINO,26.0
2017-0115,1,2017-09-19,2,2017,9,19,18:52:33,18,4,AV. PAVON Y TREINTA Y TRES ORIENTALES,AVENIDA,PAVON AV.,TREINTA Y TRES ORIENTALES,5,MOTO_BICICLETA,MOTO,BICICLETA,MASCULINO,34.0
2017-0116,1,2017-09-20,2,2017,9,20,22:24:00,22,5,COLECTORA AV. GRAL. PAZ 5750,GRAL PAZ,"PAZ, GRAL. AV.",,12,MOTO_OBJETO FIJO,MOTO,OBJETO FIJO,MASCULINO,22.0
2017-0118,1,2017-09-22,2,2017,9,22,07:02:09,7,2,VIEYTES Y CRUZ,AVENIDA,VIEYTES,"CRUZ, OSVALDO AV.",4,MOTO_AUTO,MOTO,AUTO,FEMENINO,26.0
2017-0120,1,2017-10-02,2,2017,10,2,15:55:33,15,4,AU DELLEPIANE Y AV. ESCALADA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,ESCALADA AV.,9,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,20.0
2017-0123,1,2017-10-10,2,2017,10,10,01:05:38,1,1,ALBARIÑO Y AV. ARGENTINA,AVENIDA,ALBARI?O,ARGENTINA AV.,8,PEATON_AUTO,PEATON,AUTO,FEMENINO,36.0
2017-0124,1,2017-10-12,2,2017,10,12,14:40:28,14,4,JUAN RAMIREZ DE VELAZCO 1211,CALLE,"RAMIREZ DE VELASCO, JUAN",,15,MOTO_PASAJEROS,MOTO,PASAJEROS,MASCULINO,51.0
2017-0125,1,2017-10-13,2,2017,10,13,06:12:20,6,1,AV. FERNANDEZ DE LA CRUZ Y LARRAYA,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",LARRAYA,8,MOTO_OBJETO FIJO,MOTO,OBJETO FIJO,MASCULINO,29.0
2017-0127,1,2017-10-16,2,2017,10,16,07:45:00,7,2,GALLO Y AV. CORDOBA,AVENIDA,GALLO,CORDOBA AV.,2,MOTO_MOTO,MOTO,MOTO,MASCULINO,24.0
2017-0128,1,2017-10-17,2,2017,10,17,12:30:00,12,4,DR. JUAN F. ARANGUREN 611,CALLE,"ARANGUREN, JUAN F., DR.",,6,PEATON_PASAJEROS,PEATON,PASAJEROS,FEMENINO,60.0
2017-0129,1,2017-10-26,2,2017,10,26,19:15:15,19,4,AU PERITO MORENO Y AU 25 DE MAYO,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA 25 DE MAYO,9,MOTO_PASAJEROS,MOTO,PASAJEROS,MASCULINO,57.0
2017-0130,1,2017-10-27,2,2017,10,27,05:30:00,5,1,CHORROARIN Y AV. SAN MARTIN,AVENIDA,CHORROARIN,SAN MARTIN AV.,15,AUTO_CARGAS,AUTO,CARGAS,MASCULINO,23.0
2017-0132,1,2017-10-30,2,2017,10,30,14:00:00,14,4,COSQUIN Y AV. CNEL. ROCA,AVENIDA,COSQUIN,"ROCA, CNEL. AV.",8,MOTO_PASAJEROS,MOTO,PASAJEROS,MASCULINO,23.0
2017-0134,1,2017-11-06,2,2017,11,6,18:00:00,18,4,AV. CNEL. ROCA 3555,AVENIDA,"ROCA, CNEL. AV.",,8,PEATON_PASAJEROS,PEATON,PASAJEROS,FEMENINO,47.0
2017-0135,1,2017-11-07,2,2017,11,7,12:14:10,12,4,AV. WARNES Y PUNTA ARENAS,AVENIDA,WARNES AV.,PUNTA ARENAS,15,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,24.0
2017-0136,1,2017-11-16,2,2017,11,16,08:43:00,8,2,DEL BARCO CENTENERA Y RABANAL,AVENIDA,BARCO CENTENERA DEL,"RABANAL, FRANCISCO, INTENDENTE AV.",4,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,55.0
2017-0137,1,2017-11-17,2,2017,11,17,11:45:00,11,2,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,AVENIDA,MOSCONI GENERAL AV.,SAN NICOLAS,11,PEATON_CARGAS,PEATON,CARGAS,FEMENINO,60.0
2017-0138,1,2017-11-19,2,2017,11,19,10:30:00,10,2,AV. LAFUENTE Y AV. EVA PERON,AVENIDA,LAFUENTE AV.,"PERON, EVA AV.",7,MOTO_OBJETO FIJO,MOTO,OBJETO FIJO,MASCULINO,25.0
2017-0139,1,2017-11-19,2,2017,11,19,22:30:00,22,5,AV. CNEL. ROCA Y AV. ESCALADA,AVENIDA,"ROCA, CNEL. AV.",ESCALADA AV.,8,AUTO_OBJETO FIJO,AUTO,OBJETO FIJO,FEMENINO,15.0
2017-0140,1,2017-11-19,2,2017,11,19,23:22:17,23,5,AU ARTURO FRONDIZI PKM 3100,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,4,MOTO_PASAJEROS,MOTO,PASAJEROS,MASCULINO,24.0
2017-0141,1,2017-11-23,2,2017,11,23,19:45:00,19,4,AV. LA PLATA Y AV. PEDRO GOYENA,AVENIDA,LA PLATA AV.,"GOYENA, PEDRO AV.",6,PEATON_PASAJEROS,PEATON,PASAJEROS,FEMENINO,22.0
2017-0143,1,2017-11-25,2,2017,11,25,21:45:00,21,5,TRELLES Y GRAL. CESAR DIAZ,CALLE,"TRELLES, MANUEL R.","DIAZ, CESAR, GRAL.",11,AUTO_PASAJEROS,AUTO,PASAJEROS,MASCULINO,50.0
2017-0144,1,2017-11-26,2,2017,11,26,06:45:00,6,2,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,"ROCA, CNEL. AV.","PAZ, GRAL. AV.",8,AUTO_OBJETO FIJO,AUTO,OBJETO FIJO,FEMENINO,50.0
2017-0145,1,2017-11-26,2,2017,11,26,17:05:00,17,4,MAZA Y DON BOSCO,CALLE,MAZA,DON BOSCO,5,MOTO_AUTO,MOTO,AUTO,MASCULINO,58.0
2017-0147,1,2017-11-28,2,2017,11,28,11:15:00,11,2,AV. GRAL. PAZ Y AV. EVA PERON,GRAL PAZ,"PAZ, GRAL. AV.","PERON, EVA AV.",9,MOTO_AUTO,MOTO,AUTO,MASCULINO,49.0
2017-0148,1,2017-11-29,2,2017,11,29,10:45:00,10,2,AV. SAN JUAN Y LA RIOJA,AVENIDA,SAN JUAN AV.,LA RIOJA,3,PEATON_PASAJEROS,PEATON,PASAJEROS,FEMENINO,82.0
2017-0149,1,2017-11-30,2,2017,11,30,12:20:00,12,4,AV. PASEO COLON Y MEXICO,AVENIDA,PASEO COLON AV.,MEXICO,1,PEATON_PASAJEROS,PEATON,PASAJEROS,MASCULINO,13.0
